Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1429810,"June 23, 2019",California,San Jose,568 Habbitts Court,5,0,View Incident View Source
1429047,"June 23, 2019",Indiana,South Bend,1150 E Mishawaka Ave,1,10,View Incident View Source
1429480,"June 23, 2019",Ohio,Columbus,1767 Genessee Ave,0,5,View Incident View Source
1429338,"June 23, 2019",South Carolina,Abbeville,1108 Cambridge St,3,1,View Incident View Source
1429399,"June 22, 2019",Virginia,Hampton,1st St and E Pembroke Ave,0,4,View Incident View Source
1429022,"June 22, 2019",Pennsylvania,Philadelphia,2400 block of Moore St,0,4,View Incident View Source
1428595,"June 22, 2019",Maryland,Baltimore,800 block of N Port St,1,4,View Incident View Source
1428788,"June 21, 2019",Michigan,Saginaw,1506 N Charles St,1,3,View Incident View Source
1427483,"June 21, 2019",Illinois,Chicago,6300 block of S King Dr,0,4,View Incident View Source
1428047,"June 21, 2019",California,Santa Maria,519 West Taylor St,5,0,View Incident View Source
1428229,"June 21, 2019",California,Richmond,700 block of 14th St,0,5,View Incident View Source
1426537,"June 20, 2019",Pennsylvania,Allentown,343 Hamilton St,0,10,View Incident View Source
1425193,"June 18, 2019",New Jersey,Newark,700 block of Dr Martin Luther King Jr Blvd,1,4,View Incident View Source
1425161,"June 17, 2019",Texas,San Antonio,E Market St and Tower of the Americas Way,0,4,View Incident View Source
1424957,"June 17, 2019",Tennessee,Memphis,2872 Coach Dr,0,5,View Incident View Source
1423697,"June 16, 2019",Pennsylvania,Philadelphia,6900 block of Reedbird Pl,1,5,View Incident View Source
1423330,"June 16, 2019",Kentucky,Louisville,Dixie Highway and Ormsby Ave,1,6,View Incident View Source
1423435,"June 16, 2019",Iowa,Des Moines,1200 block of Sampson St,0,6,View Incident View Source
1422981,"June 15, 2019",Louisiana,Shreveport,2500 block of Hollywood Ave,0,4,View Incident View Source
1420933,"June 12, 2019",North Carolina,Charlotte,305 N Graham St,1,3,View Incident View Source
1419305,"June 11, 2019",Colorado,Aurora,12500 block of E Kansas Pl,0,4,View Incident View Source
1420432,"June 11, 2019",Georgia,Savannah,6900 Block of Damascus Rd,2,2,View Incident View Source
1418533,"June 9, 2019",Ohio,Cleveland,17218 Tarkington Ave,1,3,View Incident View Source
1418548,"June 9, 2019",New York,Buffalo,2081 Niagara St,0,4,View Incident View Source
1418457,"June 9, 2019",Tennessee,Henning,265 N Main St,1,3,View Incident View Source
