Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1276298,"December 11, 2018",Louisiana,Natchitoches,Caspari St and University Pkwy,1,3,View Incident View Source
1272855,"December 9, 2018",Wisconsin,Madison,3554 E Washington Ave,0,4,View Incident View Source
1273161,"December 8, 2018",California,Inglewood,801 S Inglewood Ave,0,5,View Incident View Source
1272106,"December 8, 2018",New York,Corona (Queens),89-25 130th St,0,5,View Incident View Source
1267682,"December 1, 2018",Florida,Miami,NW Fifth Ave and NW Eighth St,0,5,View Incident View Source
1266937,"November 26, 2018",Tennessee,Powell,Tammy Dr,0,4,View Incident View Source
1262814,"November 25, 2018",Alabama,Demopolis,Floyd St and Field St,2,2,View Incident View Source
1263332,"November 25, 2018",California,Oakland,1000 block of 24th St,0,4,View Incident View Source
1263086,"November 25, 2018",Texas,Houston,4500 block of Yale St,1,3,View Incident View Source
1262013,"November 23, 2018",Florida,Miami,5801 NW 27th Ave,2,5,View Incident View Source
1261351,"November 22, 2018",Indiana,Fort Wayne,6100 block of Downingtown Dr,3,2,View Incident View Source
1260525,"November 21, 2018",Missouri,Saint Louis,4200 block of Shreve Ave,0,4,View Incident View Source
1258777,"November 19, 2018",Colorado,Denver,1200 21st Street,1,4,View Incident View Source
1258804,"November 19, 2018",Pennsylvania,Philadelphia,5100 block of Malcolm St,4,0,View Incident View Source
1258009,"November 18, 2018",California,Los Angeles (Watts),95th St and Defiance Ave,1,4,View Incident View Source
1257508,"November 16, 2018",Arkansas,Little Rock,4405 W 14th St,3,1,View Incident View Source
1256435,"November 14, 2018",Louisiana,Baton Rouge,4896 Gus Young Ave,3,1,View Incident View Source
1254225,"November 13, 2018",New Mexico,Gallup,CR 1 and Defiance Draw Rd,4,1,View Incident View Source
1254084,"November 12, 2018",North Carolina,Dunn,4640 Woods Crossroads Rd,3,1,View Incident View Source
1253361,"November 11, 2018",Arizona,Globe,598 N Broad St,3,1,View Incident View Source
1249561,"November 7, 2018",California,Thousand Oaks,99 Rolling Oaks Dr,13,2,View Incident View Source
1246727,"November 3, 2018",New York,Watertown,136 Franklin St,0,5,View Incident View Source
1247019,"November 2, 2018",California,Long Beach (North Long Beach),5800 block of Brayton Ave,0,4,View Incident View Source
1246489,"November 2, 2018",Florida,Tallahassee,1950 Thomasville Rd,3,4,View Incident View Source
1245703,"November 1, 2018",Minnesota,Minneapolis,3400 block of Girard Ave N,0,5,View Incident View Source
