Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1846764,"November 7, 2020",Kansas,Ogden,225 Riley Ave,0,4,View Incident View Source
1845690,"November 7, 2020",South Carolina,Rock Hill,241 Albright Rd,1,3,View Incident View Source
1845477,"November 6, 2020",Louisiana,New Orleans,8622 Belfast St,2,2,View Incident View Source
1844573,"November 5, 2020",Ohio,Toledo,2125 Parkwood Ave,3,2,View Incident View Source
1843360,"November 4, 2020",Missouri,Jefferson City,1299 Lafayette St,0,4,View Incident View Source
1842362,"November 3, 2020",Nevada,Henderson,1445 Stonelake Cove Ave,4,1,View Incident View Source
1842421,"November 2, 2020",Ohio,Mansfield,136 Sturges Ave,0,5,View Incident View Source
1840534,"November 1, 2020",South Carolina,Hollywood,7800 block of White Point Rd,0,6,View Incident View Source
1840265,"November 1, 2020",Indiana,Evansville,664 E Illinois St,0,4,View Incident View Source
1840364,"November 1, 2020",Oklahoma,Oklahoma City,10601 S Western Ave,1,3,View Incident View Source
1841432,"November 1, 2020",North Carolina,Winston Salem (Winston-salem),3900 block of Glen Hi Rd,1,3,View Incident View Source
1840600,"November 1, 2020",Arizona,Tucson,2500 block of E Aerospace Parkway,2,2,View Incident View Source
1840310,"November 1, 2020",New Jersey,Atlantic City,2721 Arctic Ave,1,4,View Incident View Source
1839628,"October 31, 2020",California,Sacramento,2800 block of Normington Dr,0,4,View Incident View Source
1839576,"October 31, 2020",Washington,Sumner,127th Ave E and Valley Ave E,0,5,View Incident View Source
1839462,"October 31, 2020",California,Anaheim,1210 S State College Blvd,0,4,View Incident View Source
1840544,"October 31, 2020",Nevada,North Las Vegas,3700 block of Iverson Ln,0,4,View Incident View Source
1840041,"October 31, 2020",Maryland,College Park,7700 Baltimore Ave,0,7,View Incident View Source
1839112,"October 30, 2020",Maryland,Waldorf,2177 Crain Hwy,1,3,View Incident View Source
1839065,"October 30, 2020",Illinois,Chicago,11613 S Vincennes Ave,1,3,View Incident View Source
1838368,"October 29, 2020",Florida,Winter Garden,Center St and 11th St,0,4,View Incident View Source
1837146,"October 28, 2020",Virginia,Roanoke,1400 block of Rorer Ave SW,0,4,View Incident View Source
1837429,"October 28, 2020",New Jersey,Newark,381 S 6th St,1,3,View Incident View Source
1834216,"October 25, 2020",Texas,Fort Worth,1900 block of Carver Ave,2,3,View Incident View Source
1835030,"October 25, 2020",Texas,San Antonio,2800 block of W Hutchins Pl,1,3,View Incident View Source
