Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
965251,"October 21, 2017",Pennsylvania,Chester,1200 block of W Carlas Ln,0,4,View Incident View Source
962359,"October 18, 2017",Maryland,Edgewood,2111 Emmorton Park Rd,3,3,View Incident View Source
962155,"October 17, 2017",New York,Brooklyn,181 Martense St,0,4,View Incident View Source
962623,"October 16, 2017",Mississippi,Meridian,5th Street,1,3,View Incident View Source
960036,"October 15, 2017",Texas,Houston,6233 Gulfton St,2,2,View Incident View Source
959126,"October 15, 2017",Arizona,Phoenix,107th Ave and Camelback Rd,1,3,View Incident View Source
957980,"October 12, 2017",California,Aliso Viejo,6 Asbury Ct,2,2,View Incident View Source
957562,"October 11, 2017",Ohio,Pedro,15497 SR 93,4,0,View Incident View Source
956942,"October 10, 2017",California,San Francisco,25th St and Treat Ave,0,4,View Incident View Source
955268,"October 9, 2017",Texas,Houston,3352 Old Spanish Trail,0,5,View Incident View Source
954428,"October 7, 2017",Arizona,Phoenix,87th Ave and Thomas Rd,0,4,View Incident View Source
953156,"October 6, 2017",Illinois,Chicago,8000 block of S Marshfield,0,5,View Incident View Source
952720,"October 5, 2017",Arizona,Casa Grande,400 block of W 13th Street,4,0,View Incident View Source
952220,"October 3, 2017",Florida,Miami,2051 NW 65th St,0,4,View Incident View Source
945990,"October 1, 2017",Kansas,Lawrence,1000 block of Massachusetts St,3,2,View Incident View Source
946496,"October 1, 2017",Nevada,Las Vegas,3950 Las Vegas Blvd S,59,441,View Incident View Source
946138,"September 30, 2017",Tennessee,Memphis,800 block of Kerr Avenue,1,3,View Incident View Source
944448,"September 28, 2017",Louisiana,New Orleans,2001 N Rocheblave St,1,3,View Incident View Source
942628,"September 26, 2017",Pennsylvania,Philadelphia,100 block of Pastorius St,1,3,View Incident View Source
942522,"September 26, 2017",Tennessee,Memphis,2531 Chelsea Ave,0,4,View Incident View Source
942830,"September 26, 2017",Maryland,Baltimore,3200 block of Lyndale Ave,2,2,View Incident View Source
941144,"September 24, 2017",Maryland,Baltimore,500 block of E. Patapsco Avenue,0,4,View Incident View Source
940554,"September 24, 2017",Tennessee,Antioch,3890 Pin Hook Rd,1,8,View Incident View Source
940644,"September 24, 2017",New York,Syracuse,1226 E Fayette St,0,4,View Incident View Source
1974755,"September 24, 2017",Pennsylvania,Philadelphia,3400 block of H St,0,4,View Incident View Source
