Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1686015,"May 22, 2020",Ohio,Cleveland,11921 Miles Ave,1,3,View Incident View Source
1683810,"May 20, 2020",Texas,Houston,6918 Landor St,2,3,View Incident View Source
1683653,"May 19, 2020",Illinois,Decatur,300 block of West Leafland Ave,0,5,View Incident View Source
1682322,"May 18, 2020",California,Bakersfield,901 W Columbus St,0,5,View Incident View Source
1681602,"May 17, 2020",South Carolina,Charleston,23 Cannon St,0,4,View Incident View Source
1681887,"May 17, 2020",Maryland,District Heights,6800 block of Atwood St,1,3,View Incident View Source
1682233,"May 17, 2020",South Carolina,Saint Matthews,100 block of Bugleflower Ln,4,1,View Incident View Source
1681588,"May 16, 2020",Louisiana,Bogalusa,Martin Luther King Dr and E 4th St,0,13,View Incident View Source
1686369,"May 15, 2020",Florida,Gainesville,2305 SE Hawthorne Rd,0,5,View Incident View Source
1850080,"May 15, 2020",Pennsylvania,Philadelphia,4300 block of Germantown Ave,0,4,View Incident View Source
1680027,"May 14, 2020",New Mexico,Albuquerque,820 Louisiana SE,0,5,View Incident View Source
1679086,"May 13, 2020",Illinois,Rockford,2914 W State St,1,4,View Incident View Source
1678589,"May 13, 2020",Kentucky,Garrison,6151 Kinney Rd,1,4,View Incident View Source
1679356,"May 13, 2020",Tennessee,Memphis,3500 block of Commerce Cir,0,4,View Incident View Source
1677566,"May 11, 2020",Alabama,Montgomery,Rosa Parks Ave and Courtland Dr,0,4,View Incident View Source
1676515,"May 10, 2020",Louisiana,Baton Rouge,2944 Plank Rd,0,5,View Incident View Source
1676579,"May 10, 2020",Texas,Fort Worth,4750 Wilbarger St,0,5,View Incident View Source
1676746,"May 10, 2020",Texas,Katy,18000 block of Bonners Park Cir,0,6,View Incident View Source
1676121,"May 9, 2020",Missouri,Saint Louis,3500 block of Arkansas Ave,0,4,View Incident View Source
1674802,"May 7, 2020",Maryland,Baltimore,5100 block of Stafford Rd,0,4,View Incident View Source
1673989,"May 6, 2020",Texas,Houston,14200 block of Bridgeport Rd,3,1,View Incident View Source
1673633,"May 6, 2020",Georgia,Albany,1900 block of Meadow Dr,1,3,View Incident View Source
1674299,"May 6, 2020",Tennessee,Memphis,Barron Ave and Dogwood Dr,2,2,View Incident View Source
1671289,"May 3, 2020",Ohio,Columbus,300 block of S Ashburton Rd,0,4,View Incident View Source
1671624,"May 3, 2020",Florida,Jacksonville,2100 block of Brooklyn Rd,1,3,View Incident View Source
