Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1014052,"December 24, 2017",Alabama,Troy,100 block of Chapman St,1,4,View Incident View Source
1014971,"December 23, 2017",Louisiana,Eunice,100 block of City Avenue,1,3,View Incident View Source
1013377,"December 23, 2017",Alabama,Birmingham,3rd Ave N and 9th St N,0,4,View Incident View Source
1011953,"December 21, 2017",Pennsylvania,Philadelphia,6600 block of Dorel St,1,3,View Incident View Source
1012704,"December 21, 2017",Louisiana,Lafayette,1500 block of N University Avenue,0,4,View Incident View Source
1009629,"December 16, 2017",Mississippi,Mc Cool (Mccool),Ferguson Rd,0,4,View Incident View Source
1008310,"December 15, 2017",California,Pacoima,13041 Jouett Street,0,5,View Incident View Source
1007054,"December 13, 2017",Ohio,Columbus,200 block of E Barthman Ave,1,3,View Incident View Source
1006150,"December 12, 2017",Kentucky,Louisville,17th and Gallagher Streets,0,4,View Incident View Source
1006446,"December 12, 2017",Texas,Garland,1301 Rivercrest Ln,0,4,View Incident View Source
1004454,"December 9, 2017",Massachusetts,Boston,Proctor St,0,4,View Incident View Source
1002514,"December 6, 2017",Illinois,Chicago,4620 N Broadway,0,4,View Incident View Source
1001566,"December 4, 2017",Pennsylvania,Pittsburgh,7200 block of Everton St,2,2,View Incident View Source
1000479,"December 3, 2017",Tennessee,Memphis,656 Marshall Ave,1,3,View Incident View Source
999969,"December 2, 2017",Michigan,Detroit,5200 Woodward Avenue,0,4,View Incident View Source
998843,"November 30, 2017",Michigan,Detroit,11000 block of Gunston,1,4,View Incident View Source
994323,"November 24, 2017",Mississippi,Brookhaven,119 Martin Street,1,6,View Incident View Source
995015,"November 24, 2017",Ohio,Cleveland,11618 Buckeye Rd,1,5,View Incident View Source
991017,"November 18, 2017",Minnesota,Minneapolis,3600 block of N Emerson Ave,0,4,View Incident View Source
990974,"November 17, 2017",Louisiana,New Iberia,900 Block of Mississippi St,0,4,View Incident View Source
989838,"November 16, 2017",Georgia,Columbus,1400 block of 15th Street,0,7,View Incident View Source
988824,"November 14, 2017",California,Richmond,900 Block of View Dr,2,2,View Incident View Source
987611,"November 14, 2017",California,Corning,17357 Stagecoach Rd,6,12,View Incident View Source
986236,"November 12, 2017",Indiana,Gary,4601 Melton Rd,0,7,View Incident View Source
987134,"November 12, 2017",California,Fresno,S Calvin Ave,0,5,View Incident View Source
