Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1681588,"May 16, 2020",Louisiana,Bogalusa,Martin Luther King Dr and E 4th St,0,13,View Incident View Source
1686369,"May 15, 2020",Florida,Gainesville,2305 SE Hawthorne Rd,0,5,View Incident View Source
1850080,"May 15, 2020",Pennsylvania,Philadelphia,4300 block of Germantown Ave,0,4,View Incident View Source
1680027,"May 14, 2020",New Mexico,Albuquerque,820 Louisiana SE,0,5,View Incident View Source
1679086,"May 13, 2020",Illinois,Rockford,2914 W State St,1,4,View Incident View Source
1678589,"May 13, 2020",Kentucky,Garrison,6151 Kinney Rd,1,4,View Incident View Source
1679356,"May 13, 2020",Tennessee,Memphis,3500 block of Commerce Cir,0,4,View Incident View Source
1677566,"May 11, 2020",Alabama,Montgomery,Rosa Parks Ave and Courtland Dr,0,4,View Incident View Source
1676515,"May 10, 2020",Louisiana,Baton Rouge,2944 Plank Rd,0,5,View Incident View Source
1676579,"May 10, 2020",Texas,Fort Worth,4750 Wilbarger St,0,5,View Incident View Source
1676746,"May 10, 2020",Texas,Katy,18000 block of Bonners Park Cir,0,6,View Incident View Source
1676121,"May 9, 2020",Missouri,Saint Louis,3500 block of Arkansas Ave,0,4,View Incident View Source
1674802,"May 7, 2020",Maryland,Baltimore,5100 block of Stafford Rd,0,4,View Incident View Source
1673989,"May 6, 2020",Texas,Houston,14200 block of Bridgeport Rd,3,1,View Incident View Source
1673633,"May 6, 2020",Georgia,Albany,1900 block of Meadow Dr,1,3,View Incident View Source
1674299,"May 6, 2020",Tennessee,Memphis,Barron Ave and Dogwood Dr,2,2,View Incident View Source
1671289,"May 3, 2020",Ohio,Columbus,300 block of S Ashburton Rd,0,4,View Incident View Source
1671624,"May 3, 2020",Florida,Jacksonville,2100 block of Brooklyn Rd,1,3,View Incident View Source
1671078,"May 3, 2020",Illinois,Chicago,3700 W 13th St,0,5,View Incident View Source
1670970,"May 2, 2020",Pennsylvania,Philadelphia,200 block of S Cecil St,0,4,View Incident View Source
1668470,"April 29, 2020",Indiana,Indianapolis,451 E Stop 11 Rd,0,4,View Incident View Source
1666945,"April 27, 2020",Wisconsin,Milwaukee,2800 block of N 12th St,5,0,View Incident View Source
1666461,"April 26, 2020",New York,Troy,Jefferson St and 3rd St,0,4,View Incident View Source
1666600,"April 26, 2020",North Carolina,Salisbury,900 block of E Lafayette St,1,4,View Incident View Source
1666327,"April 25, 2020",Florida,Orlando,Elese St and Deerock Dr,1,4,View Incident View Source
