Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
797125,"March 18, 2017",Michigan,Detroit,16000 block of Rutherford,3,2,View Incident View Source
794468,"March 15, 2017",Louisiana,Metairie,2508 Pasadena Ave,3,1,View Incident View Source
791298,"March 10, 2017",Illinois,Chicago,123 E 51st St,2,2,View Incident View Source
791274,"March 10, 2017",Louisiana,New Orleans (Gentilly),4200 block of Touro St,3,1,View Incident View Source
789798,"March 7, 2017",Illinois,Chicago,W 76th St and S May St,0,4,View Incident View Source
789424,"March 5, 2017",Georgia,Columbus,600 block of 32nd Street,0,4,View Incident View Source
787875,"March 4, 2017",Kansas,Topeka,SE Bellview Ave and SE 23rd St,1,4,View Incident View Source
787801,"March 4, 2017",California,Sacramento,2500 block of 33rd St,0,4,View Incident View Source
786876,"March 3, 2017",Pennsylvania,Philadelphia,7165 Germantown Ave,0,4,View Incident View Source
787435,"March 3, 2017",California,Riverside,8300 block of Trey Ave,0,5,View Incident View Source
785262,"February 28, 2017",Ohio,Cincinnati,1700 of Casey Dr,0,6,View Incident View Source
783963,"February 27, 2017",Virginia,Newport News,11810 Fountain Way,0,4,View Incident View Source
783623,"February 26, 2017",Indiana,Gary,1700 Grant St,1,4,View Incident View Source
783102,"February 25, 2017",Ohio,Warren,1564 Niles Cortland Rd SE,2,3,View Incident View Source
783090,"February 25, 2017",Florida,Jacksonville,3604 Moncrief Rd,1,4,View Incident View Source
780792,"February 22, 2017",New York,Rochester,191 Genesee St,0,4,View Incident View Source
780036,"February 21, 2017",Ohio,Cleveland,16700 Lorain Ave,0,4,View Incident View Source
779582,"February 21, 2017",Mississippi,Toomsuba,Butts Road,4,0,View Incident View Source
778941,"February 20, 2017",Ohio,Cleveland,1082 East 105th Street,0,5,View Incident View Source
778182,"February 19, 2017",Virginia,Norfolk,Church Street and East Virginia Beach Blvd,1,3,View Incident View Source
777876,"February 18, 2017",Pennsylvania,Philadelphia,1 block of N Conestoga,0,4,View Incident View Source
777410,"February 18, 2017",Indiana,South Bend,1000 block of Yukon St,1,3,View Incident View Source
775903,"February 15, 2017",California,Salinas,30 Soledad Street,0,4,View Incident View Source
775531,"February 15, 2017",Illinois,Chicago,3949 South Albany Avenue,3,2,View Incident View Source
773002,"February 12, 2017",Missouri,Caruthersville,908 Truman Blvd,1,6,View Incident View Source
