Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1185622,"August 12, 2018",Pennsylvania,Pittsburgh (East Liberty),5600 block of Broad St,0,4,View Incident View Source
1186061,"August 11, 2018",California,San Francisco,Geneva St and Mission St,1,4,View Incident View Source
1184607,"August 11, 2018",Colorado,Thornton,4050 E 100th Ave,1,3,View Incident View Source
1185040,"August 11, 2018",Ohio,Columbus,1280 Summit St,0,4,View Incident View Source
1184992,"August 10, 2018",Missouri,Saint Louis,1515 N 13th St,0,4,View Incident View Source
1184206,"August 10, 2018",Michigan,Detroit,6300 block of Vinewood St,0,4,View Incident View Source
1182893,"August 8, 2018",New Jersey,Paterson,Mercer St and Franklin St,0,4,View Incident View Source
1182717,"August 8, 2018",Pennsylvania,Philadelphia,North 12th Street and West Huntingdon Street,2,4,View Incident View Source
1179935,"August 5, 2018",Illinois,Chicago,50 block of N Leclaire Ave,1,4,View Incident View Source
1179619,"August 5, 2018",Illinois,Chicago,1300 block of S Millard Ave,1,5,View Incident View Source
1179607,"August 5, 2018",Illinois,Chicago,1300 block of W 76th St,0,8,View Incident View Source
1179677,"August 5, 2018",Illinois,Chicago,900 block of S Karlov Ave,0,4,View Incident View Source
1179644,"August 5, 2018",Illinois,Chicago,1600 block of S Avers Ave,0,4,View Incident View Source
1179810,"August 4, 2018",Nevada,Las Vegas,3400 block of Coran Ln,0,6,View Incident View Source
1180161,"August 4, 2018",Missouri,Kansas City,E 18th St and Highland Ave,0,6,View Incident View Source
1179805,"August 4, 2018",Illinois,Chicago,1600 block of N Leclaire Ave,1,3,View Incident View Source
1179589,"August 4, 2018",Wisconsin,Milwaukee,40th St and Vliet St,0,4,View Incident View Source
1176169,"July 31, 2018",California,Gardena,1212 West 135th Street,2,3,View Incident View Source
1177024,"July 30, 2018",Georgia,Savannah,12328 Largo Dr,0,4,View Incident View Source
1175571,"July 30, 2018",Illinois,Chicago,1200 block of S Avers Ave,0,4,View Incident View Source
1174423,"July 29, 2018",Pennsylvania,York,100 block of E Maple St,0,4,View Incident View Source
1174960,"July 29, 2018",Arizona,Phoenix,2501 E Van Buren St,1,4,View Incident View Source
1174990,"July 29, 2018",Michigan,Lansing,Spring and River Street,0,4,View Incident View Source
1174190,"July 28, 2018",Louisiana,New Orleans,3400 S Claiborne Ave,3,7,View Incident View Source
1174527,"July 28, 2018",California,Los Angeles,8801 S Vermont Ave,2,4,View Incident View Source
