Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1764619,"August 14, 2020",New York,New York (Manhattan),111 Lenox Ave,0,4,View Incident View Source
1762951,"August 12, 2020",New Jersey,Newark,N 12th St,1,4,View Incident View Source
1762997,"August 12, 2020",Ohio,Dayton,2049 Catalpa Dr,1,3,View Incident View Source
1761557,"August 11, 2020",California,Torrance,22904 Lockness Ave,0,5,View Incident View Source
1759873,"August 9, 2020",Colorado,Denver,1400 block of W Byers Pl,0,9,View Incident View Source
1759779,"August 9, 2020",Ohio,Toledo,Monroe St and N Detroit Ave,0,6,View Incident View Source
1758966,"August 9, 2020",District of Columbia,Washington,3300 block of Dubois Pl SE,1,21,View Incident View Source
1760207,"August 9, 2020",Mississippi,Jackson,3600 block of Cromwell St,0,4,View Incident View Source
1760261,"August 9, 2020",Texas,Houston,9700 Homestead Rd,0,4,View Incident View Source
1759425,"August 8, 2020",Kentucky,Paducah,900 block of Boyd St,1,4,View Incident View Source
1758838,"August 8, 2020",Pennsylvania,Philadelphia,1101 N 38th St,0,6,View Incident View Source
1759439,"August 8, 2020",Massachusetts,Brockton,124 Laureston St,0,5,View Incident View Source
1759237,"August 8, 2020",Alabama,Birmingham (Ensley),426 18th St,1,5,View Incident View Source
1758774,"August 8, 2020",New York,Albany,First St and Quail St,1,3,View Incident View Source
1757380,"August 6, 2020",California,Oakland,4500 block of Fairfax Ave,1,3,View Incident View Source
1756248,"August 5, 2020",Illinois,Chicago,700 block of S Karlov Ave,0,4,View Incident View Source
1755566,"August 4, 2020",Wisconsin,Madison,333 S Rosa Rd,0,4,View Incident View Source
1755297,"August 4, 2020",District of Columbia,Washington,5400 block of Georgia Ave NW,0,4,View Incident View Source
1754613,"August 4, 2020",California,Beverly Hills,13200 Mulholland Dr,1,4,View Incident View Source
1754640,"August 4, 2020",Missouri,Saint Louis,5300 block of Bircher Blvd,1,3,View Incident View Source
1754672,"August 4, 2020",Connecticut,Hartford,818 Windsor St,1,5,View Incident View Source
1754363,"August 3, 2020",New York,Bronx,450 St Ann's Ave,0,4,View Incident View Source
1753320,"August 2, 2020",Pennsylvania,Philadelphia,3100 block of Weymouth St,0,4,View Incident View Source
1753561,"August 2, 2020",New Jersey,Newark,200 block of 6th Ave,0,5,View Incident View Source
1752100,"August 1, 2020",Illinois,Chicago,100 block of N Laporte Ave,1,4,View Incident View Source
