Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1784570,"September 3, 2020",Arkansas,Hensley,Woodson Lateral Rd and I-530,1,3,View Incident View Source
1785108,"September 3, 2020",Pennsylvania,Philadelphia,700 block of E Chelten Ave,0,6,View Incident View Source
1785593,"September 3, 2020",Arkansas,Little Rock,19 Nandina Cir,0,4,View Incident View Source
1783582,"September 2, 2020",Pennsylvania,Philadelphia,1800 block of Moore St,2,2,View Incident View Source
1784141,"September 2, 2020",Georgia,Albany,1400 block of E Residence Ave,1,3,View Incident View Source
1783928,"September 2, 2020",California,Oakland,Kerwin Ave and 105th Ave,0,4,View Incident View Source
1825993,"August 31, 2020",Pennsylvania,Philadelphia,1500 block of W Clearfield St,0,5,View Incident View Source
1782962,"August 31, 2020",Florida,Tallahassee,2660 Old Bainbridge Rd,0,4,View Incident View Source
1780301,"August 30, 2020",Kentucky,Lexington,545 N Upper St,0,7,View Incident View Source
1780199,"August 30, 2020",Illinois,Zion,2300 block of Joppa Ave,1,3,View Incident View Source
1780266,"August 30, 2020",Texas,San Antonio,S Olive St and Aransas Ave,2,2,View Incident View Source
1779981,"August 30, 2020",New York,Buffalo,500 block of Fillmore Ave,1,4,View Incident View Source
1784122,"August 30, 2020",Pennsylvania,Philadelphia,5317 Oxford Ave,0,4,View Incident View Source
1779718,"August 30, 2020",Illinois,Chicago,11601 S Western Ave,1,4,View Incident View Source
1780091,"August 30, 2020",Kentucky,Madisonville,400 block of Elm St,0,5,View Incident View Source
1780228,"August 29, 2020",Nevada,Las Vegas,777 E Twain Ave,2,2,View Incident View Source
1778571,"August 29, 2020",Illinois,Rock Island,1800 2nd Ave,1,5,View Incident View Source
1778435,"August 28, 2020",Minnesota,Minneapolis,2400 block of Irving Ave N,0,4,View Incident View Source
1778542,"August 28, 2020",Pennsylvania,Chester,2900 block of W 2nd St,1,3,View Incident View Source
1779023,"August 28, 2020",Texas,Dallas,2600 block of Elm St,1,4,View Incident View Source
1777607,"August 27, 2020",Oregon,Portland,10500 block of NE Halsey St,1,3,View Incident View Source
1777180,"August 26, 2020",Michigan,Pontiac,252 Carriage Circle Dr,3,1,View Incident View Source
1776905,"August 26, 2020",South Carolina,Hilton Head Island,Muddy Creek Rd and Spanish Wells Rd,0,4,View Incident View Source
1777400,"August 26, 2020",Pennsylvania,Philadelphia,5500 block of Chew Ave,0,4,View Incident View Source
1776189,"August 25, 2020",Virginia,Norfolk,800 block of E Princess Anne Rd,0,5,View Incident View Source
