Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1894822,"January 4, 2021",Louisiana,New Orleans,1600 block of N Galvez St,0,4,View Incident View Source
1894979,"January 4, 2021",Florida,Tampa,1225 S 78th St,0,5,View Incident View Source
1894941,"January 4, 2021",Florida,Fort Lauderdale (Lauderhill),1828 NW 38th Ave,0,7,View Incident View Source
1893953,"January 3, 2021",Oregon,Gresham,NE 181st Ave and NE San Rafael St,0,4,View Incident View Source
1893327,"January 3, 2021",Texas,Houston,2900 Travis St,1,4,View Incident View Source
1893754,"January 3, 2021",Florida,Miami,3632 NW 25th Ave,0,6,View Incident View Source
1893601,"January 3, 2021",Louisiana,Shreveport,6900 block of Jewella Ave,2,3,View Incident View Source
1893877,"January 3, 2021",California,Santa Barbara,1200 block of Liberty St,2,2,View Incident View Source
1893744,"January 3, 2021",Florida,Miami,10525 NW 24th Ave,0,8,View Incident View Source
1892034,"January 1, 2021",Arkansas,Fort Smith,3211 Towson Ave,0,7,View Incident View Source
1892704,"January 1, 2021",Texas,Amarillo,2650 Dumas Dr,1,3,View Incident View Source
1892114,"January 1, 2021",Iowa,Sioux City,2637 S Walker St,1,4,View Incident View Source
1891720,"January 1, 2021",Illinois,Galesburg,1000 block of Monroe St,0,4,View Incident View Source
1891461,"December 31, 2020",Indiana,Indianapolis,8215 Center Run Road,1,3,View Incident View Source
1890946,"December 31, 2020",Oregon,Happy Valley,9200 block of SE Idleman Rd,0,4,View Incident View Source
1886974,"December 26, 2020",Illinois,Rockford,4007 E State St,3,3,View Incident View Source
1886913,"December 26, 2020",Florida,Tampa,N 20th St and E 7th Ave,2,2,View Incident View Source
1887059,"December 26, 2020",Massachusetts,Lynn,Washington St and Quincy Ter,1,5,View Incident View Source
1886849,"December 26, 2020",Florida,Miami,NW 61st St and NW 13th Ave,1,3,View Incident View Source
1886372,"December 25, 2020",Florida,Boynton Beach,Martin Luther King Jr Blvd and N Seacrest Blvd,1,4,View Incident View Source
1886721,"December 25, 2020",Arkansas,Atkins,5180 Pine Ridge Rd,5,0,View Incident View Source
1886141,"December 24, 2020",Florida,Lakeland,1500 block of Amos Ave,1,4,View Incident View Source
1885251,"December 22, 2020",Mississippi,Meridian,Jeffrey Acres Rd,5,0,View Incident View Source
1882214,"December 20, 2020",Connecticut,Bridgeport,456 Connecticut Ave,2,2,View Incident View Source
1881213,"December 19, 2020",Illinois,Chicago,8936 S Cottage Grove Ave,0,6,View Incident View Source
