Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1485340,"August 22, 2019",South Carolina,Columbia,851 Bush River Rd,2,2,View Incident View Source
1485548,"August 22, 2019",California,Los Angeles,300 block of West Fifth St,0,4,View Incident View Source
1484335,"August 20, 2019",Georgia,Atlanta,111 James P Brawley Dr SW,0,4,View Incident View Source
1482199,"August 18, 2019",Missouri,Kansas City,770 W 47th St,0,4,View Incident View Source
1481989,"August 17, 2019",Texas,Houston,12500 block of Mylla St,0,6,View Incident View Source
1480326,"August 15, 2019",Alabama,Montgomery,847 N University Dr,2,3,View Incident View Source
1479894,"August 15, 2019",Pennsylvania,Philadelphia,1400 block of W Conlyn St,0,5,View Incident View Source
1478869,"August 14, 2019",Pennsylvania,Philadelphia,3716 N 15th St,0,6,View Incident View Source
1479395,"August 13, 2019",Washington,Tacoma,E 38th St and E Roosevelt Ave,2,3,View Incident View Source
1478480,"August 12, 2019",Mississippi,Greenwood,200 Young St,0,4,View Incident View Source
1475924,"August 11, 2019",Illinois,Chicago,3500 block of W Lake St,0,6,View Incident View Source
1475361,"August 10, 2019",Virginia,Richmond,6346 Midlothian Turnpike,0,4,View Incident View Source
1476271,"August 10, 2019",California,San Francisco,1100 Fillmore St,0,4,View Incident View Source
1475208,"August 9, 2019",Illinois,Chicago,7300 block of S Artesian Ave,0,4,View Incident View Source
1472641,"August 7, 2019",Missouri,Saint Louis,4900 block of Plover Ave,3,1,View Incident View Source
1469344,"August 5, 2019",New York,Brooklyn,216 Buffalo Ave,0,4,View Incident View Source
1527721,"August 4, 2019",Louisiana,Lake Charles,110 Pryce St,0,4,View Incident View Source
1468190,"August 4, 2019",Illinois,Chicago,1800 S Kildare Ave,1,7,View Incident View Source
1468799,"August 4, 2019",Tennessee,Memphis,443 E Shelby Dr,1,3,View Incident View Source
1468091,"August 4, 2019",Illinois,Chicago,2900 block of W Roosevelt Rd,0,7,View Incident View Source
1467828,"August 4, 2019",Ohio,Dayton,419 E 5th St,10,17,View Incident View Source
1466705,"August 3, 2019",Texas,El Paso,7101 Gateway Blvd,23,23,View Incident View Source
1467157,"August 2, 2019",Virginia,Suffolk,200 block of N Broad St,2,3,View Incident View Source
1462317,"July 30, 2019",Ohio,Columbus,1280 E Long St,0,5,View Incident View Source
1460630,"July 28, 2019",Pennsylvania,Philadelphia,2600 block of Carroll St,1,5,View Incident View Source
