Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
925809,"September 2, 2017",Kentucky,Louisville,8008 Watterson Trl,0,4,View Incident View Source
925436,"September 2, 2017",Illinois,Chicago,8300 block of S Hermitage,1,3,View Incident View Source
922184,"August 28, 2017",New Mexico,Clovis,701 N Main St,2,4,View Incident View Source
921733,"August 27, 2017",California,Sacramento,7760 24th St,1,4,View Incident View Source
921653,"August 27, 2017",Indiana,Evansville,1127 Chestnut St,1,3,View Incident View Source
921289,"August 25, 2017",Florida,Gainesville,1600 NE 8th Ave,0,4,View Incident View Source
920513,"August 24, 2017",Missouri,Saint Louis,10400 block of Balmoral Dr,4,0,View Incident View Source
918204,"August 22, 2017",Illinois,Chicago,300 block of N Central Ave,0,4,View Incident View Source
917793,"August 21, 2017",New Jersey,Newark,Fabyan Place,0,4,View Incident View Source
917820,"August 21, 2017",North Carolina,Whitakers,980 Fishing Creek Rd,4,0,View Incident View Source
918061,"August 21, 2017",New Jersey,Newark,700 block of S 19th St,1,3,View Incident View Source
917713,"August 21, 2017",Maryland,Baltimore,Cottage Avenue and Park Heights Avenue,1,3,View Incident View Source
917838,"August 21, 2017",Tennessee,Memphis,262 Decatur St,0,4,View Incident View Source
916808,"August 20, 2017",New York,Brooklyn,100th St and Ave M,0,4,View Incident View Source
916848,"August 20, 2017",Illinois,Chicago,11901 S Loomis St,2,5,View Incident View Source
916551,"August 19, 2017",Ohio,Cleveland,11143 Superior Ave,1,4,View Incident View Source
914819,"August 16, 2017",New York,Wyandanch,Merritt Ave and 15th St,0,4,View Incident View Source
913924,"August 14, 2017",California,North Hollywood,Morrison St and Klump Ave,2,2,View Incident View Source
912805,"August 13, 2017",Pennsylvania,Philadelphia,39th St and Melon St,0,5,View Incident View Source
912322,"August 13, 2017",California,Sacramento,4000 Block of Martin Luther King Jr Blvd,0,4,View Incident View Source
912375,"August 13, 2017",Virginia,Suffolk,8700 block of Quay Rd,0,4,View Incident View Source
912093,"August 12, 2017",Missouri,Saint Louis,12310 Bellefontaine Rd,1,3,View Incident View Source
909423,"August 8, 2017",Illinois,Chicago,50 block of E 37th St,1,6,View Incident View Source
907555,"August 6, 2017",New York,Bronx,Wickham Ave,0,6,View Incident View Source
907546,"August 6, 2017",New York,Bronx,Unionport Rd,0,4,View Incident View Source
