Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1305516,"January 19, 2019",Illinois,Chicago,4400 block of W Madison St,0,4,View Incident View Source
1305538,"January 19, 2019",Florida,Jacksonville,11445 Brian Lakes Drive,3,2,View Incident View Source
1305294,"January 19, 2019",Texas,Houston,7041 Sherman St,3,2,View Incident View Source
1303486,"January 17, 2019",Kentucky,Owensboro,940 Audubon Ave,3,1,View Incident View Source
1302060,"January 16, 2019",Florida,Jacksonville,Emerson St and Spring Park Rd,1,5,View Incident View Source
1303303,"January 16, 2019",California,Palmdale,Ranch Center Dr and 40th St W,3,1,View Incident View Source
1301778,"January 15, 2019",Arkansas,Little Rock,5420 Baseline Rd,1,4,View Incident View Source
1299680,"January 13, 2019",Arizona,Phoenix,2445 E Van Buren St,1,5,View Incident View Source
1295294,"January 6, 2019",New Mexico,Roswell,1300 block of W College Blvd,0,4,View Incident View Source
1292684,"January 4, 2019",Virginia,Hurt,3197 Shula Dr,3,2,View Incident View Source
1293054,"January 4, 2019",California,Torrance,22501 Hawthorne Blvd,3,4,View Incident View Source
1292941,"January 3, 2019",Arizona,Yuma,3800 block of E County 18½ St,1,3,View Incident View Source
1291779,"January 2, 2019",Arkansas,Jonesboro,3516 Galaxy St,1,3,View Incident View Source
1289877,"January 1, 2019",South Carolina,Columbia,1709 Decker Blvd,0,5,View Incident View Source
1289618,"January 1, 2019",Florida,Tallahassee,2020 W Pensacola St,0,5,View Incident View Source
1289686,"December 31, 2018",Ohio,Cleveland,4462 Denison Ave,3,2,View Incident View Source
1288376,"December 29, 2018",Ohio,Lima,904 S Main St,1,3,View Incident View Source
1287286,"December 28, 2018",Missouri,Saint Charles,150 Whetstone Dr,4,1,View Incident View Source
1284586,"December 24, 2018",Louisiana,Lutcher,2176 Main St,2,2,View Incident View Source
1283229,"December 23, 2018",Missouri,Springfield,1042 W College St,1,6,View Incident View Source
1282704,"December 22, 2018",Nevada,Las Vegas,3528 S Maryland Pkwy,0,4,View Incident View Source
1279617,"December 18, 2018",Maryland,Baltimore,3942 Park Heights Ave,0,5,View Incident View Source
1277327,"December 15, 2018",Florida,Miami,239 NW 16th St,0,5,View Incident View Source
1277411,"December 14, 2018",Colorado,Colorado Springs,700 block of Geiger Ct,1,3,View Incident View Source
1276091,"December 13, 2018",Pennsylvania,Philadelphia,4505 N Broad St,0,4,View Incident View Source
