Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
870222,"June 18, 2017",District of Columbia,Washington,3100 block of Buena Vista Terrace SE,0,4,View Incident View Source
869877,"June 18, 2017",Illinois,Chicago,3300 block of W Crystal St,0,4,View Incident View Source
869968,"June 18, 2017",South Carolina,Myrtle Beach,311 N Ocean Blvd,0,7,View Incident View Source
869838,"June 17, 2017",Illinois,Chicago,50 block of N Latrobe Ave,0,4,View Incident View Source
869357,"June 17, 2017",Ohio,Columbus,6252 Busch Blvd,1,4,View Incident View Source
868042,"June 15, 2017",Virginia,Richmond,4053 Old Brook Road,1,3,View Incident View Source
868363,"June 15, 2017",New Mexico,La Madera,491 NM-111,5,0,View Incident View Source
866739,"June 14, 2017",Virginia,Alexandria,420 E Monroe Ave,1,5,View Incident View Source
868147,"June 14, 2017",Ohio,Canton,14th St NE and Gibbs Ave NE,0,4,View Incident View Source
866933,"June 14, 2017",California,San Francisco,720 San Bruno,4,2,View Incident View Source
866412,"June 13, 2017",Maryland,Baltimore,3300 block of Ayrdale Avenue,0,4,View Incident View Source
866448,"June 13, 2017",Maryland,Baltimore,1200 block of Bonaparte Avenue,2,2,View Incident View Source
869474,"June 13, 2017",Missouri,Saint Louis (University City),Ferguson Ave and Plymouth Ave,0,4,View Incident View Source
864743,"June 11, 2017",Illinois,Chicago,3300 block of W Douglas Blvd,0,9,View Incident View Source
864852,"June 11, 2017",Tennessee,Chattanooga,4272 Bonny Oaks Drive,0,4,View Incident View Source
865371,"June 11, 2017",Texas,Houston,505 Cypress Station Dr,0,4,View Incident View Source
865186,"June 10, 2017",Tennessee,Memphis,571 East Street,0,4,View Incident View Source
864370,"June 9, 2017",Texas,Fort Worth,East Davis Avenue and New York Avenue,2,5,View Incident View Source
863075,"June 8, 2017",Louisiana,New Orleans,3650 Franklin Ave,0,6,View Incident View Source
861307,"June 6, 2017",Utah,Sandy,2232 Alta Canyon Drive,3,2,View Incident View Source
859875,"June 5, 2017",Florida,Orlando,2427 Forsyth Rd,6,0,View Incident View Source
858810,"June 3, 2017",Missouri,Saint Louis,1600 Block of Union Blvd,2,2,View Incident View Source
858719,"June 3, 2017",Louisiana,New Orleans,3717 Tulane Ave,3,2,View Incident View Source
858877,"June 2, 2017",California,Los Angeles,89th St and Broadway,1,3,View Incident View Source
858378,"June 2, 2017",Texas,Laredo,5301 McPherson Rd,2,3,View Incident View Source
