Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1782962,"August 31, 2020",Florida,Tallahassee,2660 Old Bainbridge Rd,0,4,View Incident View Source
1780301,"August 30, 2020",Kentucky,Lexington,545 N Upper St,0,7,View Incident View Source
1780199,"August 30, 2020",Illinois,Zion,2300 block of Joppa Ave,1,3,View Incident View Source
1780266,"August 30, 2020",Texas,San Antonio,S Olive St and Aransas Ave,2,2,View Incident View Source
1779981,"August 30, 2020",New York,Buffalo,500 block of Fillmore Ave,1,4,View Incident View Source
1784122,"August 30, 2020",Pennsylvania,Philadelphia,5317 Oxford Ave,0,4,View Incident View Source
1779718,"August 30, 2020",Illinois,Chicago,11601 S Western Ave,1,4,View Incident View Source
1780091,"August 30, 2020",Kentucky,Madisonville,400 block of Elm St,0,5,View Incident View Source
1780228,"August 29, 2020",Nevada,Las Vegas,777 E Twain Ave,2,2,View Incident View Source
1778571,"August 29, 2020",Illinois,Rock Island,1800 2nd Ave,1,5,View Incident View Source
1778435,"August 28, 2020",Minnesota,Minneapolis,2400 block of Irving Ave N,0,4,View Incident View Source
1778542,"August 28, 2020",Pennsylvania,Chester,2900 block of W 2nd St,1,3,View Incident View Source
1779023,"August 28, 2020",Texas,Dallas,2600 block of Elm St,1,4,View Incident View Source
1777607,"August 27, 2020",Oregon,Portland,10500 block of NE Halsey St,1,3,View Incident View Source
1777180,"August 26, 2020",Michigan,Pontiac,252 Carriage Circle Dr,3,1,View Incident View Source
1776905,"August 26, 2020",South Carolina,Hilton Head Island,Muddy Creek Rd and Spanish Wells Rd,0,4,View Incident View Source
1777400,"August 26, 2020",Pennsylvania,Philadelphia,5500 block of Chew Ave,0,4,View Incident View Source
1776189,"August 25, 2020",Virginia,Norfolk,800 block of E Princess Anne Rd,0,5,View Incident View Source
1775249,"August 25, 2020",New York,Rochester,70 block of Flower St,0,4,View Incident View Source
1774123,"August 24, 2020",Michigan,Detroit,11938 E McNichols Rd,0,4,View Incident View Source
1773194,"August 24, 2020",California,Sacramento,1200 block of Helena Ave,1,3,View Incident View Source
1774138,"August 24, 2020",Florida,West Palm Beach,1000 block of 18th St,0,4,View Incident View Source
1773996,"August 24, 2020",Virginia,Richmond,2300 block of Bethel St,1,4,View Incident View Source
1772623,"August 23, 2020",Arkansas,Pine Bluff,2901 W 28th Ave,0,7,View Incident View Source
1772513,"August 23, 2020",New York,Brooklyn,2946 W 23rd St,1,3,View Incident View Source
