Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1993551,"May 3, 2021",Michigan,Saginaw,1315 Randolph St,1,4,View Incident View Source
1993090,"May 2, 2021",Ohio,Columbus,491 Park St,0,4,View Incident View Source
1993664,"May 2, 2021",Pennsylvania,Philadelphia,5200 block of Burton St,1,3,View Incident View Source
1993221,"May 2, 2021",Maryland,Baltimore,1500 block of Washington Blvd,1,3,View Incident View Source
1993280,"May 2, 2021",Illinois,Chicago,2100 block of W Adams St,0,5,View Incident View Source
1992570,"May 2, 2021",Minnesota,Saint Paul,843 Selby Ave,0,4,View Incident View Source
1992127,"May 1, 2021",Delaware,Wilmington,800 block of N Pine St,0,4,View Incident View Source
1992534,"May 1, 2021",Louisiana,New Orleans,St Bernard Ave and N Claiborne Ave,2,4,View Incident View Source
1992410,"May 1, 2021",New York,New Rochelle,Horton Ave and Brook St,1,4,View Incident View Source
1992490,"May 1, 2021",Massachusetts,Holyoke,209 South St,0,5,View Incident View Source
1992469,"May 1, 2021",Florida,Clewiston,1117 Harlem Academy Ave,1,3,View Incident View Source
1990821,"April 29, 2021",Georgia,Atlanta,2300 block of Polar Rock Terrace SW,1,5,View Incident View Source
1990600,"April 28, 2021",Florida,Miami,2100 block of NW 85th St,0,5,View Incident View Source
1989840,"April 28, 2021",North Carolina,Boone,553 Hardaman Cir,5,0,View Incident View Source
1988688,"April 27, 2021",Virginia,Richmond,4000 Midlothian Turnpike,2,3,View Incident View Source
1989023,"April 27, 2021",Alabama,Fairfield,200 block of Glen Crest Dr,1,4,View Incident View Source
1987241,"April 26, 2021",Louisiana,Houma,656 Corporate Dr,0,5,View Incident View Source
1988326,"April 26, 2021",Oregon,Gresham,SE Stark St and SE 174th Ave,0,7,View Incident View Source
1991347,"April 25, 2021",Texas,Palestine,1101 W Palestine Ave,0,4,View Incident View Source
1987235,"April 25, 2021",Alabama,Phenix City,1700 Highway 280 Bypass,0,4,View Incident View Source
1986593,"April 25, 2021",Arkansas,Little Rock,1900 E 6th St,1,3,View Incident View Source
1986770,"April 25, 2021",Missouri,Kansas City,E 18th St and Vine St,1,3,View Incident View Source
1985432,"April 24, 2021",Louisiana,New Orleans,100 block of Bourbon St,0,5,View Incident View Source
1984807,"April 22, 2021",California,San Diego,500 block of J St,1,4,View Incident View Source
1981805,"April 19, 2021",Texas,Houston,700 E Whitney St,2,4,View Incident View Source
