Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
886220,"July 8, 2017",Ohio,Cincinnati,9917 Capstan Dr,1,8,View Incident View Source
884764,"July 6, 2017",Mississippi,Meridian,Eighth Ave,0,4,View Incident View Source
883052,"July 5, 2017",Georgia,Savannah,Jefferson Street and West St. Julian Street,0,4,View Incident View Source
883282,"July 5, 2017",Illinois,Chicago (Roseland),11000 block of S Eberhart,2,2,View Incident View Source
883058,"July 5, 2017",Maine,Madison,300 block of Russell Rd,4,1,View Incident View Source
882665,"July 4, 2017",Florida,Orlando (Pine Castle),501 W Lancaster Rd,0,4,View Incident View Source
882321,"July 4, 2017",Virginia,Hampton,500 block of Patterson Ave,1,4,View Incident View Source
883489,"July 4, 2017",North Carolina,Raleigh,105 E South St,1,3,View Incident View Source
882422,"July 3, 2017",Alabama,Prattville,112 US 82,3,1,View Incident View Source
881921,"July 3, 2017",Michigan,Pontiac,50 block of Thorpe St,1,3,View Incident View Source
881700,"July 2, 2017",New Jersey,Jersey City,Wilkinson Avenue,0,4,View Incident View Source
880738,"July 2, 2017",South Carolina,Greenwood,SC 72 Bypass,0,4,View Incident View Source
879953,"July 1, 2017",Arkansas,Little Rock,220 W 6th St,0,25,View Incident View Source
883656,"July 1, 2017",Illinois,Momence,2727 S 13000 Rd E,0,4,View Incident View Source
880808,"July 1, 2017",New Jersey,Newark,Lincoln Park and Pennsylvania Avenue,2,2,View Incident View Source
880813,"July 1, 2017",California,Oakland,3200 Humboldt Ave,0,4,View Incident View Source
879412,"June 30, 2017",New York,Bronx,1650 Grand Concourse,2,6,View Incident View Source
877295,"June 27, 2017",Illinois,Chicago,200 block of S Lotus,0,5,View Incident View Source
876010,"June 25, 2017",District of Columbia,Washington,5900 block of Southern Ave SE,0,4,View Incident View Source
875886,"June 25, 2017",Missouri,Saint Louis,5000 block of Thekla Ave,1,3,View Incident View Source
874613,"June 24, 2017",Florida,Fort Lauderdale,2335 NW 16th Ct,1,4,View Incident View Source
875322,"June 24, 2017",New York,New York (Manhattan),114th St and Manhattan Ave,0,5,View Incident View Source
876076,"June 24, 2017",New Jersey,Willingboro,Pastoral Lane,0,4,View Incident View Source
873847,"June 22, 2017",Georgia,Atlanta,1100 block of Osborne Street,1,6,View Incident View Source
870095,"June 18, 2017",Missouri,Saint Louis,1900 block of N 14th St,3,2,View Incident View Source
