Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1390764,"May 8, 2019",Indiana,Indianapolis,Roache St and Rader St,0,4,View Incident View Source
1389220,"May 7, 2019",Colorado,Littleton (Highlands Ranch),8773 S Ridgeline Blvd,1,8,View Incident View Source
1386962,"May 5, 2019",New Jersey,North Bergen,2033 45th Street,1,4,View Incident View Source
1387170,"May 5, 2019",California,Oceano,1001 Cabrillo Hwy,0,6,View Incident View Source
1386510,"May 4, 2019",Missouri,Saint Louis,Union Blvd and Northland Ave,1,4,View Incident View Source
1386929,"May 4, 2019",Indiana,Indianapolis,101 W Maryland St,0,4,View Incident View Source
1387245,"May 4, 2019",California,Stockton,5105 Holiday Dr,1,4,View Incident View Source
1386575,"May 4, 2019",Delaware,Wilmington,W 27th St and Tatnall St,0,4,View Incident View Source
1386481,"May 3, 2019",Texas,Dallas,5400 Cedar Springs Rd,1,3,View Incident View Source
1386085,"May 3, 2019",Maryland,Baltimore,1900 block of Ramsay St,0,5,View Incident View Source
1385642,"May 3, 2019",Maryland,Baltimore,2500 block of E Biddle St,0,4,View Incident View Source
1384553,"May 1, 2019",Massachusetts,Boston,32 Windermere Rd,1,3,View Incident View Source
1383752,"April 30, 2019",North Carolina,Charlotte,9214 South Library Ln,2,4,View Incident View Source
1381857,"April 28, 2019",Tennessee,Nashville,1407 Dr DB Todd Jr Blvd,0,7,View Incident View Source
1382099,"April 28, 2019",Alabama,Birmingham,514 19th St Ensley,0,4,View Incident View Source
1381979,"April 28, 2019",Maryland,Baltimore,2544 Edmondson Ave,1,7,View Incident View Source
1382711,"April 28, 2019",Ohio,West Chester,4637 Wyndtree Dr,4,0,View Incident View Source
1381771,"April 27, 2019",Mississippi,Jackson,700 block of Monterey St,1,3,View Incident View Source
1381273,"April 27, 2019",California,Poway,16934 Chabad Way,1,3,View Incident View Source
1381734,"April 27, 2019",California,Los Angeles,700 N San Fernando Rd,0,6,View Incident View Source
1377519,"April 21, 2019",Pennsylvania,Philadelphia,1500 block of South 31st St,0,4,View Incident View Source
1376873,"April 20, 2019",Tennessee,Memphis,761 Chestnut Ave,0,6,View Incident View Source
1376883,"April 19, 2019",Kansas,Wichita,1628 S George Washington Blvd,0,4,View Incident View Source
1375235,"April 18, 2019",Kentucky,Louisville,4000 block of Bells Ln,0,4,View Incident View Source
1373557,"April 16, 2019",Maryland,Germantown,18700 block of Curry Powder Ln,1,3,View Incident View Source
