Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1324279,"February 11, 2019",Texas,Livingston,3628 FM 3126,5,0,View Incident View Source
1323448,"February 9, 2019",Virginia,Petersburg,109 Perry St,0,4,View Incident View Source
1321021,"February 6, 2019",New York,Brooklyn,1778 Fulton St,1,3,View Incident View Source
1321093,"February 5, 2019",Texas,San Antonio,538 Hot Wells Blvd,2,2,View Incident View Source
1319333,"February 4, 2019",District of Columbia,Washington,2341 Pennsylvania Ave SE,0,5,View Incident View Source
1319325,"February 4, 2019",Louisiana,Baton Rouge,4000 block of Topeka St,0,4,View Incident View Source
1318391,"February 3, 2019",Illinois,Chicago,938 E 75th St,2,5,View Incident View Source
1320286,"February 3, 2019",California,Palm Springs,E Sunny Dunes Rd and El Placer Rd,4,0,View Incident View Source
1318187,"February 1, 2019",California,San Diego,6800 block of Springfield St,0,4,View Incident View Source
1314289,"January 28, 2019",Texas,Houston,7815 Harding St,2,5,View Incident View Source
1314253,"January 27, 2019",Alabama,Birmingham,Avenue O and Warrior Rd,0,5,View Incident View Source
1312391,"January 26, 2019",Georgia,Albany,300 block of W Roosevelt,0,4,View Incident View Source
1312284,"January 26, 2019",Louisiana,Gonzales,42350 Church Point Rd,5,0,View Incident View Source
1312463,"January 26, 2019",Indiana,Indianapolis,2957 N Sherman Dr,0,5,View Incident View Source
1313291,"January 26, 2019",New Jersey,Newark,612 Bergen St,1,3,View Incident View Source
1310775,"January 24, 2019",Pennsylvania,State College,1450 S Atherton St,4,1,View Incident View Source
1310397,"January 24, 2019",Georgia,Rockmart,319 Williamson St,4,1,View Incident View Source
1309114,"January 23, 2019",Florida,Sebring,1901 US 27 S,5,0,View Incident View Source
1306920,"January 20, 2019",Florida,Miami,26133 SW 139th Ave,0,4,View Incident View Source
1305563,"January 19, 2019",Pennsylvania,Lebanon,1140 Church St,0,4,View Incident View Source
1305679,"January 19, 2019",South Carolina,Gaffney,1435 Wilcox Ave,1,4,View Incident View Source
1305516,"January 19, 2019",Illinois,Chicago,4400 block of W Madison St,0,4,View Incident View Source
1305538,"January 19, 2019",Florida,Jacksonville,11445 Brian Lakes Drive,3,2,View Incident View Source
1305294,"January 19, 2019",Texas,Houston,7041 Sherman St,3,2,View Incident View Source
1303486,"January 17, 2019",Kentucky,Owensboro,940 Audubon Ave,3,1,View Incident View Source
