Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1972187,"April 8, 2021",Texas,Bryan,350 Stone City Dr,1,5,View Incident View Source
1971410,"April 7, 2021",South Carolina,Rock Hill,4456 Marshall Rd,7,0,View Incident View Source
1970937,"April 7, 2021",Wisconsin,Milwaukee,2627 W Capitol Dr,2,3,View Incident View Source
1973435,"April 7, 2021",Ohio,Dayton,Hoover Ave and Summit Square,0,4,View Incident View Source
1969899,"April 6, 2021",District of Columbia,Washington,4100 block of Ames St NE,0,4,View Incident View Source
1970245,"April 6, 2021",Michigan,Detroit,6100 block of Lodewyck St,1,3,View Incident View Source
1970378,"April 5, 2021",Illinois,Chicago,6800 block of S Justine Ave,0,7,View Incident View Source
1969065,"April 5, 2021",Maryland,Baltimore,300 block of N Eutaw St,0,5,View Incident View Source
1969505,"April 4, 2021",Louisiana,Monroe,207 Sterlington Rd,0,6,View Incident View Source
1968887,"April 4, 2021",Alabama,Birmingham,3969 14th Ave N,1,5,View Incident View Source
1969633,"April 4, 2021",Texas,Beaumont,6035 S M L King Jr Pkwy,0,4,View Incident View Source
1967914,"April 3, 2021",North Carolina,Wilmington,718 Kidder St,3,4,View Incident View Source
1967893,"April 3, 2021",Alabama,Tuscaloosa,2314 4th St,0,5,View Incident View Source
1969221,"April 3, 2021",Texas,Allen,1517 Pine Bluff Dr,6,0,View Incident View Source
1968553,"April 3, 2021",Florida,Quincy,2114 Pat Thomas Parkway,0,7,View Incident View Source
1966181,"March 31, 2021",California,Orange,202 West Lincoln Ave,4,2,View Incident View Source
1965890,"March 31, 2021",District of Columbia,Washington,1300 block of Congress St SE,2,3,View Incident View Source
1963556,"March 28, 2021",Ohio,Cleveland,5100 Pearl Rd,0,7,View Incident View Source
1964085,"March 28, 2021",Illinois,Chicago,I-57 and W 127th St,0,4,View Incident View Source
1963598,"March 28, 2021",Maryland,Essex,1601 Middleborough Rd,5,1,View Incident View Source
1964030,"March 28, 2021",Texas,San Antonio,2011 Dollarhide Ave,0,4,View Incident View Source
1963052,"March 27, 2021",Illinois,Chicago,500 block of N Leamington Ave,0,4,View Incident View Source
1962934,"March 27, 2021",Mississippi,Yazoo City,Dr Martin Luther King Jr Dr and Shady Dr,0,6,View Incident View Source
1962686,"March 27, 2021",Illinois,River Grove,Belmont Ave,1,3,View Incident View Source
1962562,"March 26, 2021",Virginia,Virginia Beach,2000 block of Atlantic Ave,0,9,View Incident View Source
