Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1546508,"November 9, 2019",Georgia,Vidalia,Wiggins St,0,4,View Incident View Source
1545027,"November 8, 2019",North Carolina,Raleigh,503 Bragg St,1,3,View Incident View Source
1543835,"November 7, 2019",Georgia,Conyers,1800 block of Green St,2,3,View Incident View Source
1541774,"November 4, 2019",Texas,Houston,5000 block of Northridge Dr,1,4,View Incident View Source
1540863,"November 3, 2019",Ohio,Toledo,600 block of Magnolia St,0,4,View Incident View Source
1540841,"November 3, 2019",Texas,Nacogdoches,Sandyland Cir and CR 823,1,3,View Incident View Source
1540280,"November 2, 2019",Louisiana,Baton Rouge,137 Taylor St,0,4,View Incident View Source
1540240,"November 2, 2019",Michigan,Detroit,7000 block of E. Kirby,1,4,View Incident View Source
1539572,"November 1, 2019",Arizona,Tolleson,2434 S 86th Ln,0,5,View Incident View Source
1539557,"November 1, 2019",Texas,San Angelo,1616 S Chadbourne St,0,4,View Incident View Source
1539347,"October 31, 2019",California,Orinda,114 Lucille Way,5,3,View Incident View Source
1537992,"October 30, 2019",Pennsylvania,Philadelphia,5026 Walton Ave,4,0,View Incident View Source
1537044,"October 29, 2019",Maryland,Baltimore,4700 block of Liberty Heights Ave,1,3,View Incident View Source
1537672,"October 29, 2019",California,Long Beach,2709 E 7th St,3,9,View Incident View Source
1536787,"October 28, 2019",Maryland,Baltimore,4160 Pimlico Rd,1,3,View Incident View Source
1536706,"October 27, 2019",Michigan,Detroit,East Outer Dr and Helen St,0,4,View Incident View Source
1535629,"October 27, 2019",Michigan,Lansing,Balfour Dr and W Miller Rd,1,4,View Incident View Source
1535478,"October 26, 2019",Texas,Greenville,2275 US-380,2,6,View Incident View Source
1534704,"October 24, 2019",Oklahoma,Oklahoma City,1900 block of NW 12th St,2,2,View Incident View Source
1533166,"October 22, 2019",Oklahoma,Oklahoma City (Midwest City),7020 E Green Ave,1,3,View Incident View Source
1531326,"October 21, 2019",South Carolina,Sumter,29 Wesmark Blvd,0,4,View Incident View Source
1530965,"October 20, 2019",Texas,Port Arthur,1100 block of Vicksburg Ave,1,3,View Incident View Source
1530407,"October 19, 2019",Pennsylvania,Duquesne,600 block of Priscilla Ave,0,4,View Incident View Source
1530276,"October 19, 2019",Texas,El Paso,3812 Truman Ave,1,4,View Incident View Source
1527528,"October 15, 2019",Ohio,Columbus,1600 block of Manchester Ave,0,4,View Incident View Source
