Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
677293,"October 15, 2016",Alabama,Mobile,1800 block of St Stephens Road,0,5,View Incident View Source
676686,"October 15, 2016",Illinois,Rockford,7801 East State St,1,5,View Incident View Source
676663,"October 15, 2016",California,Los Angeles,2918 Rimpau Blvd,4,11,View Incident View Source
676376,"October 14, 2016",Illinois,Chicago,3300 block of W Maypole Ave,1,6,View Incident View Source
675993,"October 13, 2016",Illinois,Chicago,2700 block of West Lexington,0,4,View Incident View Source
672203,"October 9, 2016",Michigan,Grand Rapids,1850 28th Street SE,1,8,View Incident View Source
672217,"October 9, 2016",California,Sacramento,1696 Arden Way,1,3,View Incident View Source
671717,"October 8, 2016",New York,Brooklyn,7301 3rd Ave,0,4,View Incident View Source
669777,"October 4, 2016",Louisiana,New Orleans,3727 Ulloa Street,3,2,View Incident View Source
668407,"October 3, 2016",Minnesota,Minneapolis,Fourth St and Hennepin Ave,0,4,View Incident View Source
667984,"October 2, 2016",Texas,San Antonio,2600 South Flores Street,1,4,View Incident View Source
668279,"October 1, 2016",Illinois,Pembroke Township,17250E Road,4,0,View Incident View Source
668352,"October 1, 2016",California,Fresno,3200 block of East Clay Avenue,0,4,View Incident View Source
665995,"September 29, 2016",California,San Francisco,400 block of Ellis St,1,3,View Incident View Source
663624,"September 26, 2016",North Carolina,Winston Salem (Winston-salem),100 block of 5 Royales Dr,0,4,View Incident View Source
663789,"September 26, 2016",Texas,Humble,21219 Grand Linden Ct,0,4,View Incident View Source
663106,"September 26, 2016",Texas,Houston,5450 Weslayan St,1,6,View Incident View Source
662548,"September 25, 2016",Illinois,Champaign,300 block of E. Green St,1,3,View Incident View Source
662342,"September 24, 2016",Maryland,Baltimore,Greenmount Ave and Preston St,0,8,View Incident View Source
661703,"September 23, 2016",Washington,Burlington,201 Cascade Mall Dr,5,0,View Incident View Source
657854,"September 18, 2016",Pennsylvania,Philadelphia,3001 Castor Avenue,0,4,View Incident View Source
658226,"September 18, 2016",Pennsylvania,Pittsburgh,1700 block of Brighton Pl,0,4,View Incident View Source
657863,"September 18, 2016",Virginia,Lynchburg,421 Rivermont Ave,1,3,View Incident View Source
657634,"September 17, 2016",District of Columbia,Washington,2600 block of Birney Pl SE,2,7,View Incident View Source
659289,"September 17, 2016",Florida,Miami,20582 SW 119th Ave,0,6,View Incident View Source
