Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1159820,"July 9, 2018",Florida,Orlando,Southland Blvd and Orange Blossom Trail,1,4,View Incident View Source
1160253,"July 9, 2018",Delaware,Wilmington,2709 Ferris Rd,5,0,View Incident View Source
1160418,"July 8, 2018",Alabama,Brandon,565 US-80,0,6,View Incident View Source
1159528,"July 8, 2018",Tennessee,Memphis,Mount Moriah Rd and Mendenhall Rd,0,4,View Incident View Source
1158826,"July 7, 2018",Alabama,Wetumpka,135 Granite Way,3,2,View Incident View Source
1156480,"July 5, 2018",New York,Brooklyn,280 Herkimer St,0,4,View Incident View Source
1157073,"July 5, 2018",New York,Albany,First St and Lexington Ave,0,4,View Incident View Source
1156528,"July 5, 2018",California,Los Angeles,1600 block of W. 2nd Street,3,3,View Incident View Source
1156638,"July 5, 2018",Virginia,Virginia Beach,1800 block of Atlantic Ave,0,6,View Incident View Source
1157733,"July 5, 2018",Ohio,Lima,1440 Bellefontaine Ave,1,5,View Incident View Source
1155906,"July 4, 2018",Georgia,Atlanta,5456 E Fayetteville Rd,1,3,View Incident View Source
1155567,"July 3, 2018",Missouri,Saint Louis,1700 block of Billups Ave,1,5,View Incident View Source
1154998,"July 3, 2018",District of Columbia,Washington,1700 block of Benning Rd NE,0,4,View Incident View Source
1154558,"July 2, 2018",New York,Buffalo,Grape St,2,2,View Incident View Source
1153997,"July 1, 2018",Illinois,Chicago,3400 block of W Walnut Ave,0,6,View Incident View Source
1153531,"June 30, 2018",Maryland,Baltimore,4000 block of Penhurst Ave,0,6,View Incident View Source
1153134,"June 30, 2018",Georgia,Ashburn,800 Block of W. Washington,1,6,View Incident View Source
1153471,"June 30, 2018",New Jersey,Jersey City,Lexington Ave and John F Kennedy Blvd,0,5,View Incident View Source
1151584,"June 28, 2018",Maryland,Annapolis,888 Bestgate Rd,5,0,View Incident View Source
1151355,"June 27, 2018",California,Oakland,8901 MacArthur Boulevard,1,3,View Incident View Source
1151527,"June 27, 2018",Texas,San Antonio,100 block of Holly Street,0,4,View Incident View Source
1151373,"June 27, 2018",Connecticut,Hartford,124 Hillside Ave,0,4,View Incident View Source
1149910,"June 25, 2018",Illinois,Chicago,3900 block of S Vincennes Ave,0,6,View Incident View Source
1148468,"June 24, 2018",North Carolina,Sanford,109 S Steele St,1,6,View Incident View Source
1148678,"June 24, 2018",Florida,Punta Gorda,2450 Harbour Dr,0,4,View Incident View Source
