Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
818932,"April 13, 2017",Georgia,Atlanta,30 Anderson Ave SW,1,3,View Incident View Source
815227,"April 9, 2017",Texas,San Antonio,4000 block of Moss Spring Dr,1,3,View Incident View Source
815246,"April 9, 2017",Indiana,Fort Wayne,9439 Lima Rd,1,3,View Incident View Source
813877,"April 7, 2017",North Carolina,Hickory,1423 29th Ave Dr NE,3,1,View Incident View Source
813821,"April 7, 2017",Texas,Houston,3829 Mount Pleasant St,5,0,View Incident View Source
813943,"April 7, 2017",Minnesota,Saint Paul,1600 block of English St,4,1,View Incident View Source
814094,"April 7, 2017",Illinois,Chicago,5600 block of W Lake St,1,5,View Incident View Source
813028,"April 6, 2017",Louisiana,Lake Charles,2000 block of Tulip St,1,3,View Incident View Source
810756,"April 3, 2017",Pennsylvania,Philadelphia,1100 block of W Stiles St,3,1,View Incident View Source
811089,"April 3, 2017",Texas,Lubbock,5401 Ave Q,0,7,View Incident View Source
809978,"April 2, 2017",Illinois,Chicago,3500 block of W Van Buren St,2,4,View Incident View Source
809683,"April 2, 2017",Iowa,Des Moines,2500 Martin Luther King Jr. Parkway,0,5,View Incident View Source
809815,"April 1, 2017",California,Pittsburg,100 block of Madoline Street,0,5,View Incident View Source
809048,"April 1, 2017",Florida,Tampa,219 S Howard Ave,1,4,View Incident View Source
809499,"April 1, 2017",Oklahoma,Oklahoma City,1200 block of N Woodward Avenue,2,3,View Incident View Source
807618,"March 30, 2017",Illinois,Chicago,2704 E 75th St,4,0,View Incident View Source
804115,"March 27, 2017",Florida,Sanford,209 Hays Dr,2,4,View Incident View Source
803689,"March 26, 2017",Ohio,Cleveland,E 75th St,2,2,View Incident View Source
803822,"March 26, 2017",Texas,Houston,5619 Aldine Bender Rd,2,4,View Incident View Source
803054,"March 26, 2017",Ohio,Cincinnati,4601 Kellogg Ave,2,15,View Incident View Source
802926,"March 25, 2017",Tennessee,Knoxville,Minnesota Ave,1,4,View Incident View Source
803460,"March 25, 2017",Michigan,Detroit,8443 Grand River Ave,1,3,View Incident View Source
802837,"March 25, 2017",Ohio,Cleveland,E 79th St and Woodland Ave,2,2,View Incident View Source
802425,"March 24, 2017",California,Fresno,300 block of South Villa Avenue,1,4,View Incident View Source
802240,"March 24, 2017",Missouri,Saint Louis,5100 block of Palm St,1,6,View Incident View Source
